date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:58	4692/4692	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202023%2018:37:58%20GMT	https://areaworks.com.tr/cdn-cgi/l/email-protection	C:/Areaw/AreaWork/areaworks.com.tr/cdn-cgi/l/email-protection.html	(from https://areaworks.com.tr/)
21:37:58	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263c1ea70-4d7%22	https://areaworks.com.tr/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Areaw/AreaWork/areaworks.com.tr/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://areaworks.com.tr/)
21:37:58	5417/5417	---MCZ	200	added ('OK')	application/javascript	etag:W/%221529-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/purecounter/purecounter_vanilla.js	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/purecounter/purecounter_vanilla.js	(from https://areaworks.com.tr/)
21:37:58	14690/14690	---MCZ	200	added ('OK')	application/javascript	etag:W/%223962-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/aos/aos.js	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/aos/aos.js	(from https://areaworks.com.tr/)
21:37:58	80420/80420	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213a24-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://areaworks.com.tr/)
21:37:59	55880/55880	---MCZ	200	added ('OK')	application/javascript	etag:W/%22da48-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/glightbox/js/glightbox.min.js	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/glightbox/js/glightbox.min.js	(from https://areaworks.com.tr/)
21:37:59	143707/143707	---MCZ	200	added ('OK')	application/javascript	etag:W/%222315b-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/swiper/swiper-bundle.min.js	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/swiper/swiper-bundle.min.js	(from https://areaworks.com.tr/)
21:37:59	2590/2590	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a1e-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/php-email-form/validate.js	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/php-email-form/validate.js	(from https://areaworks.com.tr/)
21:38:00	5231/5231	---MCZ	200	added ('OK')	application/javascript	etag:W/%22146f-5f05ad6802b00%22	https://areaworks.com.tr/assets/js/main.js	C:/Areaw/AreaWork/areaworks.com.tr/assets/js/main.js	(from https://areaworks.com.tr/)
21:38:00	121296/121296	---M--	200	added ('OK')	font/woff2	etag:%221d9d0-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/bootstrap-icons/fonts/bootstrap-iconsbf04.woff2	(from https://areaworks.com.tr/assets/vendor/bootstrap-icons/bootstrap-icons.css)
21:38:01	164352/164352	---M--	200	added ('OK')	font/woff	etag:%2228200-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?24e3eb84d0bcaf83d77f904c78ac1f47	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/bootstrap-icons/fonts/bootstrap-iconsbf04.woff	(from https://areaworks.com.tr/assets/vendor/bootstrap-icons/bootstrap-icons.css)
21:38:01	405670/405670	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22630a6-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/boxicons/fonts/boxicons.eot	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/boxicons/fonts/boxicons.eot	(from https://areaworks.com.tr/assets/vendor/boxicons/css/boxicons.min.css)
